Study,Year,DES Type,N (DES),N (BMS),Events (DES),Events (BMS),RR,95% CI,Weight (%)
RAVEL (2002),2002,1st-gen SES,120,118,15,42,0.359,0.190-0.676,0.8
SIRIUS (2003),2003,1st-gen SES,533,525,98,189,0.512,0.390-0.672,4.6
E-SIRIUS (2003),2003,1st-gen SES,175,177,28,62,0.461,0.283-0.753,1.4
C-SIRIUS (2004),2004,1st-gen SES,50,50,8,18,0.459,0.187-1.131,0.4
TAXUS-IV (2004),2004,1st-gen PES,662,652,134,201,0.657,0.515-0.839,5.7
TAXUS-V (2005),2005,1st-gen PES,577,579,119,182,0.657,0.508-0.850,5.1
BASKET (2005),2005,1st-gen Mixed,416,419,71,134,0.535,0.390-0.735,3.4
ISAR-DESIRE (2006),2006,1st-gen SES,150,75,29,29,0.502,0.281-0.896,1.0
SPIRIT III (2008),2008,2nd-gen EES,669,333,98,117,0.418,0.310-0.563,3.8
COMPARE (2010),2010,2nd-gen EES,903,897,134,227,0.587,0.466-0.741,6.3
RESOLUTE (2011),2011,2nd-gen ZES,1140,1152,189,398,0.481,0.397-0.582,9.2
SORT OUT IV (2012),2012,2nd-gen Mixed,1390,700,167,219,0.384,0.308-0.479,6.9
EXAMINATION (2012),2012,2nd-gen EES,751,747,98,178,0.549,0.421-0.716,4.8
HOST-ASSURE (2016),2016,2nd-gen EES,1117,1103,145,289,0.496,0.400-0.616,7.2
NORSTENT (2018),2018,2nd-gen Mixed,4586,4611,856,1593,0.540,0.493-0.593,39.4
