study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
IMPROVE-IT,Non-Statin Lipid Lowering,Simvastatin-ezetimibe,Simvastatin alone,9067,9077,2742,2960,0.3024153523767509,0.3260989313649884,0.9273730248391108,-0.07539939431527509,0.021956240987903546,2015,64.0,76.0,72,"Post-ACS, ezetimibe adds 6.4% relative benefit"
SHARP,Non-Statin Lipid Lowering,Simvastatin-ezetimibe,Placebo,4650,4620,526,619,0.11311827956989247,0.13398268398268398,0.8442753660951586,-0.16927657445250377,0.055544086902373675,2011,62.0,63.0,58,"Chronic kidney disease, 17% reduction"
FIELD,Non-Statin Lipid Lowering,Fenofibrate 200mg,Placebo,4895,4900,668,713,0.13646578140960164,0.14551020408163265,0.9378433785512595,-0.06417231774354291,0.049911509770992436,2005,62.0,63.0,60,"Type 2 diabetes, neutral primary outcome, benefit for microvascular"
ACCORD-Lipid,Non-Statin Lipid Lowering,Simvastatin + fenofibrate,Simvastatin + placebo,2765,2753,288,310,0.10415913200723327,0.11260443152924082,0.9250002916642361,-0.07796122615707385,0.07728599432837105,2010,62.0,69.0,58,"Type 2 diabetes, fibrate adds no benefit to statin"
BIP,Non-Statin Lipid Lowering,Bezafibrate 400mg,Placebo,1548,1542,211,236,0.13630490956072353,0.15304798962386512,0.890602417553541,-0.11585717157594115,0.08764771169764374,2000,60.0,91.0,75,"CAD with low HDL, neutral but benefit in high TG subgroup"
VA-HIT,Non-Statin Lipid Lowering,Gemfibrozil 1200mg,Placebo,1264,1267,219,275,0.17325949367088608,0.2170481452249408,0.7982537399309552,-0.2253287622357341,0.08137670710272847,1999,64.0,100.0,62,"CAD with low HDL, 22% reduction"
AIM-HIGH,Non-Statin Lipid Lowering,Niacin + statin,Placebo + statin,1718,1696,282,274,0.16414435389988358,0.1615566037735849,1.0160176066211772,0.01589067835769107,0.07761468616709802,2011,64.0,85.0,36,"CAD with low HDL on statin, niacin adds no benefit"
HPS2-THRIVE,Non-Statin Lipid Lowering,Niacin-laropiprant + statin,Placebo + statin,12838,12835,1579,1563,0.12299423586228385,0.12177639267627581,1.0100006508588697,0.00995097526768292,0.033426064321635904,2013,65.0,84.0,46,"Vascular disease, niacin no benefit, increased adverse events"
REDUCE-IT,Non-Statin Lipid Lowering,Icosapent ethyl 4g,Placebo,4089,4090,705,901,0.1724137931034483,0.22029339853300733,0.7826552872287498,-0.245062926123864,0.04515816958710269,2019,64.0,71.0,58,"High TG on statin, EPA reduces events by 25%"
STRENGTH,Non-Statin Lipid Lowering,Omega-3 carboxylic acid,Corn oil,6539,6534,785,795,0.12004893714635265,0.1216712580348944,0.986666358885872,-0.013423332272183983,0.047178096566049516,2020,63.0,70.0,42,"High TG on statin, omega-3 no benefit"
