study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
CABANA,AF Catheter Ablation,Catheter ablation,Drug therapy,1108,1096,113,135,0.10198555956678701,0.12317518248175183,0.8279716539644337,-0.18877635952535718,0.12017499363259787,2019,68.0,63.0,48,Catheter ABlation versus ANtiarrhythmic drug therapy for Atrial fibrillation
CASTLE-AF,AF Catheter Ablation,Catheter ablation,Medical therapy,179,184,51,82,0.2849162011173184,0.44565217391304346,0.6393241586047145,-0.4473436627716968,0.14415821274213902,2018,63.0,87.0,38,Catheter Ablation versus Standard conventional Treatment in patients with LEft ventricular dysfunction and AF
AATAC,AF Catheter Ablation,Catheter ablation,Amiodarone,102,101,9,28,0.08823529411764706,0.27722772277227725,0.3182773109243697,-1.1448322292819961,0.3565395983025721,2016,60.0,82.0,24,Ablation vs Amiodarone for Treatment of Atrial Fibrillation in patients with CHF
MANTRA-PAF,AF Catheter Ablation,Ablation first-line,Antiarrhythmic drugs,146,148,73,80,0.5,0.5405405405405406,0.9249999999999999,-0.07796154146971193,0.11221656879327756,2012,56.0,72.0,24,Medical ANtiarrhythmic Treatment or Radiofrequency Ablation in Paroxysmal AF
RAAFT-2,AF Catheter Ablation,Catheter ablation,Antiarrhythmic drugs,66,61,15,43,0.22727272727272727,0.7049180327868853,0.3224101479915433,-1.1319307924444666,0.2416144094330656,2010,56.0,79.0,12,Radiofrequency Ablation vs Antiarrhythmic drugs as First-line Treatment
APAF,AF Catheter Ablation,Catheter ablation,Amiodarone,101,97,34,58,0.33663366336633666,0.5979381443298969,0.5629907818368044,-0.5744920242681345,0.16261265500169972,2006,59.0,76.0,12,Ablation for Paroxysmal Atrial Fibrillation
SARA,AF Catheter Ablation,Catheter ablation,Antiarrhythmic drugs,72,74,23,42,0.3194444444444444,0.5675675675675675,0.5628306878306878,-0.5747764281661042,0.19971325012799382,2010,54.0,78.0,12,Substrate and Trigger Ablation for Reduction of Atrial Fibrillation
CAPTAF,AF Catheter Ablation,Catheter ablation,Thoracoscopic surgical ablation,30,31,9,7,0.3,0.22580645161290322,1.3285714285714285,0.2841042511038969,0.43402402712153115,2012,58.0,71.0,12,Catheter ablation versus thoracoscopic surgical ablation
FIRE AND ICE,AF Catheter Ablation,Cryoballoon ablation,Radiofrequency ablation,374,376,119,135,0.3181818181818182,0.35904255319148937,0.8861952861952862,-0.12081793935153748,0.10235915929908894,2016,60.0,65.0,18,Comparison of cryoballoon and radiofrequency ablation
CIRCA-DOSE,AF Catheter Ablation,High-dose cryoablation,Standard-dose cryoablation,165,165,52,58,0.3151515151515151,0.3515151515151515,0.896551724137931,-0.10919929196499197,0.15604786579733135,2020,61.0,64.0,12,Cryoballoon dosing for pulmonary vein isolation
STOP-AF,AF Catheter Ablation,Cryoballoon ablation,Antiarrhythmic drugs,163,82,51,59,0.3128834355828221,0.7195121951219512,0.434854944369346,-0.8327427647239027,0.13500705316114006,2013,60.0,68.0,12,Sustained Treatment Of Paroxysmal Atrial Fibrillation
FREEZE COHORT,AF Catheter Ablation,Cryoballoon ablation,Radiofrequency ablation,61,61,18,25,0.29508196721311475,0.4098360655737705,0.72,-0.3285040669720361,0.2505367643872929,2016,58.0,66.0,12,Cryoballoon vs RF ablation for paroxysmal AF
