study_id,year,intervention,control,domain,n_intervention,n_control,events_intervention,events_control,mean_age,pct_male,mean_followup_months,notes,total_n
WHO Clofibrate,1978,Clofibrate 1.6g daily,Placebo,Acute Coronary Syndromes,5331,5296,174,127,48.0,100.0,64.0,World Health Organization clofibrate trial. Primary prevention. Non-fatal MI reduced 20% but TOTAL MORTALITY INCREASED 25% (p=0.05). Cholesterol↓9%. Major concern - stopped using clofibrate. Showed not all lipid-lowering is beneficial.,10627
AMIS,1980,Aspirin 1000mg daily,Placebo,Acute Coronary Syndromes,2267,2257,246,247,55.0,91.0,36.0,"Aspirin Myocardial Infarction Study. Post-MI patients. Total mortality neutral (10.8% vs 9.7%, p=NS). But CV mortality trended better. High dose aspirin. Inconclusive but suggested benefit. Swiss-US collaboration.",4524
MIAMI,1985,Metoprolol IV→oral,Placebo,Acute Coronary Syndromes,2877,2901,123,142,59.0,78.0,0.0,"Metoprolol In Acute Myocardial Infarction. Early IV metoprolol within 24h of STEMI. Mortality trend (4.3% vs 4.9%, p=0.29 NS). Subgroup benefit in high-risk patients. Established safety of early beta-blockade.",5778
GISSI-1,1986,Streptokinase 1.5 million units IV,Standard care,Acute Coronary Syndromes,5860,5852,628,758,59.0,80.0,0.0,"Gruppo Italiano per lo Studio della Streptochinasi nell'Infarto Miocardico. FIRST mega-trial of thrombolysis. Mortality 10.7% vs 13.0% (18% reduction, p<0.0002). Launched thrombolysis era. Italy, 11,806 STEMI patients within 12h.",11712
ISIS-1,1986,Atenolol IV→oral,Control,Acute Coronary Syndromes,8037,7990,317,367,58.0,73.0,0.0,"First International Study of Infarct Survival. Atenolol IV 5-10mg then oral within 12h of STEMI. 7-day mortality reduced 15% (3.9% vs 4.6%, p=0.04). Vascular deaths reduced day 0-1 (121 vs 171). Early IV beta-blockade saves lives.",16027
RISC,1990,Aspirin 75mg + heparin,Placebo,Acute Coronary Syndromes,399,396,11,30,59.0,74.0,3.0,"Risk of myocardial Infarction and death during treatment with low dose aspirin and intravenous heparin in men with unstable coronary artery disease. Unstable angina. MI/death reduced 63% (3% vs 8%, p<0.001). Scandinavian trial. Low-dose aspirin (75mg) effective - don't need high dose.",795
GISSI-3,1994,Lisinopril 10mg daily,Control,Acute Coronary Syndromes,9435,9460,580,652,63.0,73.0,2.0,"Gruppo Italiano per lo Studio della Sopravvivenza nell'Infarto Miocardico. Early ACE inhibitor (within 24h) for all STEMI. 6-week mortality reduced 11% (6.3% vs 7.1%, p=0.03). Italy, 19,394 patients. Established early ACE inhibitor for all STEMI.",18895
ISIS-4,1995,Captopril 50mg bid,Placebo,Acute Coronary Syndromes,29028,29022,2088,2231,60.0,74.0,1.0,"Fourth International Study of Infarct Survival. Largest ACE inhibitor trial: 58,050 STEMI patients. Captopril started day 0-1. 5-week mortality reduced 7% (7.2% vs 7.7%, p=0.02). Confirmed early ACE inhibitor benefit. Combined with GISSI-3 established standard of care.",58050
EMIAT,1997,Amiodarone 200mg daily,Placebo,Acute Coronary Syndromes,743,743,103,102,60.0,84.0,21.0,"European Myocardial Infarct Amiodarone Trial. Recent MI (5-21 days), EF≤40%. All-cause mortality NO BENEFIT (13.9% vs 13.7%, p=0.8). Arrhythmic death reduced 35% but no effect on total mortality. Amiodarone reduces arrhythmias but not death post-MI.",1486
CAMIAT,1997,Amiodarone 200mg daily,Placebo,Acute Coronary Syndromes,596,606,62,77,59.0,84.0,19.0,"Canadian Amiodarone Myocardial Infarction Arrhythmia Trial. Recent MI (6-45 days), ≥10 PVCs/hr. Death/resuscitated VF reduced 27% (10.4% vs 12.7%, p=0.07 NS). VT/VF reduced 48%. Amiodarone safe post-MI but marginal mortality benefit.",1202
