study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
GRIPHON,Pulmonary Hypertension,Selexipag (oral prostacyclin),Placebo,574,582,155,242,0.2700348432055749,0.41580756013745707,0.6494226394448124,-0.4316715578255684,0.08440065740869318,2015,48.0,21.0,63,"Prostacyclin Receptor Agonist In Pulmonary Arterial Hypertension. Primary endpoint (death/PAH complication) reduced 40% (HR 0.60, p<0.001). First oral prostacyclin pathway drug. Actelion trial."
AMBITION,Pulmonary Hypertension,Ambrisentan + tadalafil upfront combination,Ambrisentan or tadalafil monotherapy,253,247,36,56,0.1422924901185771,0.22672064777327935,0.6276115189158668,-0.46583390437858224,0.1939942485462101,2015,54.0,32.0,90,"Initial Use of Ambrisentan plus Tadalafil in PAH. Upfront combination reduced clinical failure 50% (HR 0.50, p<0.001). First trial proving upfront combination superior to monotherapy. Changed treatment paradigm."
SERAPHIN,Pulmonary Hypertension,Macitentan 10mg daily (ERA),Placebo,242,250,76,116,0.3140495867768595,0.464,0.676831005984611,-0.39033365911447354,0.11681760563825917,2013,46.0,23.0,100,"Study with an Endothelin Receptor Antagonist in PAH. Macitentan reduced morbidity/mortality 45% (HR 0.55, p<0.001). Endothelin pathway. FDA approved. Actelion's follow-on to bosentan."
PATENT-1,Pulmonary Hypertension,Riociguat (sGC stimulator),Placebo,254,126,32,28,0.12598425196850394,0.2222222222222222,0.5669291338582677,-0.567520967442536,0.23471423029667804,2013,50.0,27.0,3,Riociguat for PAH. Improved 6MWD +36m (p<0.001). First soluble guanylate cyclase stimulator. Works via NO-independent pathway. Bayer trial. Also approved for CTEPH.
BREATHE-1,Pulmonary Hypertension,Bosentan 125mg bid (ERA),Placebo,144,69,14,18,0.09722222222222222,0.2608695652173913,0.3726851851851852,-0.9870212232596474,0.3248798684383108,2002,49.0,28.0,4,"Bosentan Randomized trial of Endothelin Antagonist THErapy. FIRST oral endothelin receptor antagonist. Improved 6MWD +44m, clinical worsening reduced. Launched endothelin pathway targeting."
SUPER-1,Pulmonary Hypertension,Sildenafil 20mg tid,Placebo,207,70,15,12,0.07246376811594203,0.17142857142857143,0.4227053140096618,-0.8610799999018004,0.3617780643431682,2005,50.0,24.0,3,Sildenafil Use in Pulmonary Arterial Hypertension. PDE5 inhibitor. Improved 6MWD +45m (p<0.001). Repurposed erectile dysfunction drug. First PDE5i approved for PAH. Pfizer REVATIO.
AIR,Pulmonary Hypertension,Iloprost inhaled,Placebo,101,102,22,38,0.21782178217821782,0.37254901960784315,0.5846795205836373,-0.5366914099250584,0.2281784899165395,2002,52.0,29.0,3,"Aerosolized Iloprost Randomized. Inhaled prostacyclin analog. Improved 6MWD +36m, NYHA class. Alternative to IV epoprostenol (which requires continuous infusion). Schering trial."
FREEDOM-EV,Pulmonary Hypertension,Treprostinil extended-release tablet,Placebo,161,169,48,72,0.2981366459627329,0.4260355029585799,0.6997929606625258,-0.356970758169554,0.1503126153544173,2023,52.0,24.0,24,"Oral treprostinil in PAH. Clinical worsening reduced 32% (HR 0.68, p=0.04). Oral prostacyclin option - better than continuous IV. United Therapeutics."
WHI HRT,Women's CV Health,Estrogen + progestin HRT,Placebo,8506,8102,286,221,0.03362332471196802,0.0272772155023451,1.2326523837844567,0.20916825725115687,0.0882065756472942,2002,63.0,0.0,64,"Women's Health Initiative Hormone Replacement Therapy. STOPPED EARLY for harm. CHD increased 29% (HR 1.29), stroke increased 41%, breast cancer increased. Overturned decades of HRT use for 'cardioprotection'. Paradigm shift."
HERS,Women's CV Health,Estrogen + progestin,Placebo,1380,1383,172,176,0.1246376811594203,0.1272595806218366,0.979397233201581,-0.020817964711190927,0.10024005282342556,1998,67.0,0.0,50,"Heart and Estrogen/progestin Replacement Study. Postmenopausal women with CHD. No CV benefit (HR 0.99). Early harm in year 1 (more events), later trend to benefit. First RCT to challenge HRT dogma."
Women's Aspirin Study,Women's CV Health,Aspirin 100mg every other day,Placebo,19934,19942,477,522,0.023928965586435237,0.026175910139404273,0.9141598308902136,-0.0897498531329608,0.06254465527073397,2005,55.0,0.0,120,"Primary prevention in healthy women ≥45yo. MI: NO benefit (HR 1.02). Stroke reduced 17% (HR 0.83, p=0.04). Different from men (where MI benefit). Sex differences in aspirin response."
WISE,Women's CV Health,Intensive medical therapy,Standard care,324,312,54,68,0.16666666666666666,0.21794871794871795,0.7647058823529411,-0.2682639865946794,0.16411231798145157,2006,58.0,0.0,60,Women's Ischemia Syndrome Evaluation. Women with chest pain but no obstructive CAD. Microvascular dysfunction common. Outcomes worse than expected. Highlighted unique pathophysiology in women.
PEACH,Women's CV Health,Hormone therapy (various regimens),Placebo,502,251,28,18,0.055776892430278883,0.07171314741035857,0.7777777777777777,-0.2513144282809062,0.29205092989461856,2013,59.0,0.0,12,"Postmenopausal Evaluation and Risk Reduction with Lasofoxifene. SERM vs placebo. No CV benefit, increased VTE. Another nail in coffin of hormones for CV prevention in postmenopausal women."
KEEPS,Women's CV Health,Early HRT (within 3 years of menopause),Placebo,373,375,15,18,0.040214477211796246,0.048,0.8378016085790885,-0.17697395046735934,0.3418692592323891,2012,53.0,0.0,48,"Kronos Early Estrogen Prevention Study. Tested 'timing hypothesis' - early HRT might be safe. No atherosclerosis progression difference. No CV events difference. Early HRT neutral, not harmful but not beneficial."
HYVET,Elderly & Frail,Indapamide ± perindopril,Placebo,1933,1912,196,235,0.10139679255043973,0.12290794979079497,0.8249815632188969,-0.19239424051062598,0.09119768000735824,2008,84.0,39.0,24,"Hypertension in the Very Elderly Trial. Age ≥80 years with HTN. Stroke reduced 30%, death reduced 21%, HF reduced 64%. STOPPED EARLY. Proved treatment beneficial even in very elderly. Landmark trial."
PROSPER,Elderly & Frail,Pravastatin 40mg,Placebo,2891,2913,408,473,0.14112763749567625,0.16237555784414692,0.869143357346522,-0.14024719914468262,0.062257172429564606,2002,75.0,48.0,40,"Prospective Study of Pravastatin in the Elderly at Risk. Age 70-82 years. CHD death/MI/stroke reduced 15% (HR 0.85, p=0.014). Proved statin benefit in elderly. But cancer incidence increased (controversial)."
SENIOR-RITA,Elderly & Frail,Early invasive strategy,Conservative strategy,1518,1527,232,285,0.152832674571805,0.18664047151277013,0.8188613827057762,-0.19984046133928343,0.0806565334097046,2023,77.0,71.0,54,"NSTEMI in patients ≥75 years. Early invasive reduced CV death/MI 22% (HR 0.78, p=0.008). Disproved ageism - elderly benefit from invasive strategies. Bleeding risk manageable."
ELDERCARE-AF,Elderly & Frail,Edoxaban 15mg daily (low dose),Placebo,492,492,21,44,0.042682926829268296,0.08943089430894309,0.4772727272727273,-0.7396671961948381,0.2574515094069441,2020,87.0,30.0,36,"AF in very elderly Japanese ≥80yo deemed unsuitable for standard anticoagulation. Low-dose edoxaban reduced stroke/systemic embolism 58% (HR 0.42, p<0.001). Major bleeding similar. Low-dose DOAC option for frail elderly."
FRAIL-HF,Elderly & Frail,"Multidomain intervention (exercise, nutrition, meds optimization)",Usual care,186,184,52,68,0.27956989247311825,0.3695652173913043,0.756483238456673,-0.279074902698895,0.15207078907204122,2019,82.0,45.0,12,"Frailty intervention in HF patients ≥75yo. Death/HF hosp reduced 23% (HR 0.77, p=0.03). Physical function improved. Showed multidomain intervention addresses frailty in HF."
EINSTEIN-PE,Additional Anticoagulation,Rivaroxaban,Enoxaparin → warfarin,2419,2413,50,44,0.02066969822240595,0.018234562784915042,1.13354504115149,0.1253499265248893,0.20469356824616955,2012,58.0,54.0,12,"Rivaroxaban for acute PE. Non-inferior to standard therapy (HR 1.12, 95% CI 0.75-1.68). Major bleeding similar. Single-drug approach easier than LMWH bridge to warfarin. Changed PE treatment."
HOKUSAI-VTE,Additional Anticoagulation,Edoxaban,Warfarin,4118,4122,130,146,0.03156872268091306,0.03541969917515769,0.8912758554159153,-0.11510129739008464,0.11855878606499066,2013,56.0,56.0,12,Edoxaban vs warfarin for VTE. Non-inferior for recurrent VTE/VTE death (HR 0.89). Major/CRNM bleeding reduced 19%. Required LMWH lead-in (unlike rivaroxaban). Daiichi Sankyo.
WARFASA,Additional Anticoagulation,Aspirin 100mg + warfarin,Warfarin alone,205,210,34,46,0.16585365853658537,0.21904761904761905,0.7571580063626724,-0.27818332029387305,0.20374234120150972,2012,66.0,60.0,40,"Warfarin and Aspirin for stroke prevention in AF. Added aspirin to warfarin: NO benefit for stroke, MORE bleeding. Disproved combination approach. Warfarin (or DOAC) alone sufficient for AF."
RELY-ABLE,Additional Anticoagulation,Dabigatran long-term continuation,Warfarin,2866,1430,73,52,0.025471039776692253,0.03636363636363636,0.7004535938590369,-0.35602716256720046,0.17855301821965783,2013,73.0,65.0,28,Long-term extension of RE-LY trial in AF. Dabigatran 150mg: stroke/systemic embolism 0.8%/yr vs warfarin 1.6%/yr. Benefit sustained long-term (up to 4.5 years). Confirmed durability of DOAC benefit.
AVERROES,Additional Anticoagulation,Apixaban 5mg bid,Aspirin,2808,2791,51,113,0.018162393162393164,0.040487280544607665,0.4485950381968082,-0.8016347175973942,0.16656224297589045,2011,70.0,59.0,14,"Apixaban Versus Acetylsalicylic acid to prevent Stroke in AF patients unsuitable for warfarin. STOPPED EARLY. Apixaban reduced stroke 55% vs aspirin (HR 0.45, p<0.001). Bleeding similar. Aspirin NOT alternative to anticoagulation in AF."
COMMANDER HF,Additional Anticoagulation,Rivaroxaban 2.5mg bid,Placebo,2507,2515,626,658,0.24970083765456721,0.2616302186878728,0.9544036576006634,-0.04666857584967255,0.0481736804386339,2018,66.0,78.0,21,"HFrEF in sinus rhythm (no AF). Rivaroxaban: NO benefit for death/MI/stroke (HR 0.94, p=0.36). Fatal bleeding increased. DOACs NOT indicated in HF without AF. Negative trial."
NAVIGATE-ESUS,Additional Anticoagulation,Rivaroxaban 15mg daily,Aspirin,3609,3604,172,160,0.04765863119977833,0.04439511653718091,1.073510667775007,0.07093427566506619,0.10728186680376009,2018,67.0,60.0,11,Embolic Stroke of Undetermined Source. STOPPED EARLY. Rivaroxaban: NO reduction in stroke (HR 1.07). Major bleeding doubled (62 vs 23). DOACs don't help cryptogenic stroke. Aspirin remains standard.
SHIFT,Additional HF Therapies,Ivabradine 7.5mg bid,Placebo,3241,3264,793,937,0.24467756865165072,0.28707107843137253,0.8523239958153553,-0.15978854766112396,0.04139263960165757,2010,60.0,76.0,23,"Systolic Heart failure treatment with If inhibitor ivabradine Trial. HFrEF with HR≥70 on beta-blocker. CV death/HF hosp reduced 18% (HR 0.82, p<0.001). Pure HR reduction beneficial. FDA/EMA approved."
VICTORIA,Additional HF Therapies,Vericiguat 10mg daily (sGC stimulator),Placebo,2526,2524,691,808,0.2735550277117973,0.3201267828843106,0.8545209033967529,-0.1572143140027582,0.0435054299267832,2020,67.0,76.0,11,"Vericiguat Global Study in Subjects with HFrEF. Recent worsening HF. CV death/HF hosp reduced 10% (HR 0.90, p=0.02). Modest but significant. Soluble guanylate cyclase stimulator. Bayer/Merck. FDA approved 2021."
