study_id,study_name,year,nct_id,intervention,control,n_intervention,n_control,deaths_intervention,deaths_control,outcome,followup_months,log_rr,se_log_rr,quality_score,reference,rr,ci_lower,ci_upper
MERIT-HF,Metoprolol CR/XL Randomised Intervention Trial in Heart Failure,1999,NCT00000479,Metoprolol,Placebo,1990,2001,217,275,All-cause mortality,12,-0.24,0.09,Low risk,Lancet. 1999;353(9169):2001-7,0.7866278610665534,0.659416451143581,0.9383802765809481
CIBIS-II,Cardiac Insufficiency Bisoprolol Study II,1999,NCT00000474,Bisoprolol,Placebo,1327,1320,156,228,All-cause mortality,15,-0.38,0.1,Low risk,Lancet. 1999;353(9146):9-13,0.6838614092123558,0.5621424451968224,0.8319358038266718
COPERNICUS,Carvedilol Prospective Randomized Cumulative Survival Study,2001,NCT00000543,Carvedilol,Placebo,1156,1133,130,190,All-cause mortality,10,-0.39,0.11,Low risk,N Engl J Med. 2001;344(22):1651-8,0.6770568744981647,0.5457468802574666,0.8399608461141576
BEST,Beta-Blocker Evaluation of Survival Trial,2001,NCT00000560,Bucindolol,Placebo,1354,1359,411,449,All-cause mortality,24,-0.1,0.08,Low risk,N Engl J Med. 2001;344(22):1659-67,0.9048374180359595,0.7735229028765976,1.0584441004051257
CIBIS,Cardiac Insufficiency Bisoprolol Study,1994,,Bisoprolol,Placebo,320,321,53,67,All-cause mortality,23,-0.23,0.18,Low risk,Circulation. 1994;90(4):1765-73,0.794533602503334,0.5583328438935675,1.1306582666794804
MDC,Metoprolol in Dilated Cardiomyopathy,1993,,Metoprolol,Placebo,194,189,23,19,All-cause mortality,18,0.19,0.28,Some concerns,Lancet. 1993;342(8885):1441-6,1.2092495976572515,0.6985140401902621,2.0934219003470935
US-Carvedilol,US Carvedilol Heart Failure Study,1996,,Carvedilol,Placebo,696,398,22,31,All-cause mortality,6,-0.56,0.23,Low risk,N Engl J Med. 1996;334(21):1349-55,0.5712090638488149,0.3639277209068657,0.8965510893481485
ANZ-Carvedilol,Australia-New Zealand Heart Failure Study,1997,,Carvedilol,Placebo,207,208,14,14,All-cause mortality,19,0.0,0.38,Low risk,Lancet. 1997;349(9049):375-80,1.0,0.4748292562952194,2.1060201888197514
PRECISE,Prospective Randomized Evaluation of Carvedilol on Symptoms and Exercise,1996,,Carvedilol,Placebo,139,139,5,9,All-cause mortality,6,-0.59,0.53,Some concerns,Circulation. 1996;94(11):2793-9,0.5543272847345071,0.19616483074159966,1.5664313396008156
MOCHA,Multicenter Oral Carvedilol Heart Failure Assessment,1996,,Carvedilol,Placebo,232,113,7,6,All-cause mortality,6,-0.35,0.59,Some concerns,Circulation. 1996;94(11):2800-6,0.7046880897187134,0.2217066870960323,2.2398300669041773
