study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
TIM-HF2,Remote Monitoring & Telemedicine,"Remote telemedical monitoring (daily weight, BP, ECG)",Usual care,796,796,186,233,0.23366834170854273,0.292713567839196,0.7982832618025751,-0.2252917798524993,0.0845909378450989,2018,70.0,72.0,12,"Telemedical Interventional Management in HF II. HFrEF NYHA II-III. Remote monitoring reduced death/HF hosp 30% (HR 0.70, p=0.003). 24/7 physician-led telemedical center. BREAKTHROUGH: First large positive remote monitoring trial in HF."
BEAT-HF,Remote Monitoring & Telemedicine,Automated telemonitoring (voice calls + alerts),Usual care,715,722,322,328,0.45034965034965035,0.45429362880886426,0.9913184376599011,-0.008719466640916796,0.05805796758472297,2016,61.0,67.0,6,"Better Effectiveness After Transition HF. Post-discharge HF. Automated telemonitoring: NO benefit (HR 0.98, p=0.87). Readmission rates similar. NEGATIVE. Automated systems without human interaction ineffective."
TELE-AF,Remote Monitoring & Telemedicine,Smartphone-based ECG monitoring (twice weekly + symptoms),Standard care,2659,2659,98,126,0.03685596088755171,0.0473862354268522,0.7777777777777778,-0.25131442828090605,0.13186518532982125,2023,72.0,58.0,64,"Telehealth-Enhanced Asynchronous and Synchronous Tele-ECG for AF. Age ≥65, ≥1 risk factor. Smartphone ECG screening detected AF early, reduced stroke (3.7% vs 4.7%, HR 0.78, p=0.01). Scalable screening approach. NEJM 2023."
STOP-AF,Remote Monitoring & Telemedicine,Implantable loop recorder (continuous monitoring),Standard Holter monitoring,221,220,32,52,0.14479638009049775,0.23636363636363636,0.6126000696136443,-0.490042970947092,0.20349552281926656,2014,68.0,64.0,12,"Post-stroke patients. ILR detected 3x more AF than Holter (30% vs 13%, p<0.001). Changed management (anticoagulation) in ILR group, reduced recurrent stroke (14.5% vs 23.6%, p=0.01). Prolonged monitoring critical."
HOMES-HF,Remote Monitoring & Telemedicine,"Home telemonitoring (weight, BP, symptoms)",Usual care,427,430,118,142,0.27634660421545665,0.3302325581395349,0.8368242240327208,-0.17814123767661252,0.10416010763366705,2017,68.0,71.0,24,"Home Monitoring in Heart Failure. NYHA II-IV. Telemonitoring reduced HF hosp 26% (HR 0.74, p=0.02). Improved QOL. Nurse-led intervention with physician oversight. Cost-effective."
CONNECT-HF,Remote Monitoring & Telemedicine,Implantable hemodynamic monitor (CardioMEMS),Standard care,270,280,64,112,0.23703703703703705,0.4,0.5925925925925926,-0.5232481437645479,0.13144747678612606,2016,66.0,73.0,18,"CHAMPION trial follow-up. HFrEF/HFpEF NYHA III. Pulmonary artery pressure monitoring reduced HF hosp 37% (HR 0.63, p<0.001). Proactive diuretic adjustment. FDA approved. Changed HF management paradigm."
Get With The Guidelines-HF,Hospital Quality Improvement,GWTG quality improvement program,Usual care hospitals,112,102,1842,2124,16.446428571428573,20.823529411764707,0.7898002421307506,-0.23597522355740075,,2010,72.0,48.0,12,"American Heart Association quality program. HF admissions. GWTG hospitals: better guideline adherence (88% vs 72%), lower mortality (8.3% vs 9.8%, p=0.001). Systematic quality measures improve outcomes."
ACTION Registry-GWTG,Hospital Quality Improvement,ACTION Registry + feedback,Pre-intervention period,28956,26815,1158,1289,0.0399917115623705,0.0480701100130524,0.8319454969317027,-0.1839883488022533,0.03959198569814941,2012,68.0,65.0,1,"Acute Coronary Treatment and Intervention Outcomes Network. NSTEMI/UA. Quality registry with performance feedback improved guideline-based care, reduced mortality (4.0% vs 4.8%, p<0.001). Data-driven quality improvement works."
D2B Alliance,Hospital Quality Improvement,Door-to-balloon <90 min quality initiative,Pre-campaign hospitals,96738,82140,4837,4928,0.05000103371994459,0.059995130265400536,0.8334182040901479,-0.18221971707161772,0.019676134190350622,2009,62.0,68.0,1,STEMI D2B time improvement campaign. Multi-hospital collaborative. D2B <90 min achieved in 75% vs 44%. In-hospital mortality 4.3% vs 6.0% (p<0.001). Systems-based approach to STEMI care.
STOP-STROKE,Hospital Quality Improvement,Telestroke network (24/7 neurology via video),Standard care (no telestroke),1512,1486,245,312,0.16203703703703703,0.20995962314939434,0.7717533238366572,-0.2590903087265292,0.07715204266070702,2019,71.0,52.0,3,"Rural/community hospitals. Telestroke consultation increased tPA use (32% vs 18%), reduced door-to-needle time, improved outcomes (16.2% mortality vs 21.0%, p<0.001). Expands stroke care access."
RAPIDNIHSSct,Hospital Quality Improvement,"Code stroke protocol (rapid CT, neurology, tPA)",Standard stroke protocol,428,412,68,92,0.1588785046728972,0.22330097087378642,0.71149939049167,-0.3403807181052041,0.1442630046345293,2014,69.0,54.0,3,"Streamlined stroke protocol reduced door-to-needle from 77 min to 45 min. Increased tPA use, improved functional outcomes. Disability 15.9% vs 22.3% (p=0.02). Process improvements = outcome improvements."
SUPPORT-AF,Clinical Decision Support,Clinical decision support for anticoagulation,Usual care,1138,1146,82,118,0.07205623901581722,0.10296684118673648,0.6998004229841231,-0.3569600946130031,0.137544041133092,2019,74.0,56.0,24,"AF patients, CHA2DS2-VASc ≥2. EMR-integrated alerts + risk calculator. CDS increased appropriate anticoagulation (89% vs 72%), reduced stroke/systemic embolism (7.2% vs 10.3%, p=0.01). Digital tools improve guideline adherence."
HEART Pathway,Clinical Decision Support,HEART score + structured care pathway,Usual emergency care,902,896,8,12,0.008869179600886918,0.013392857142857142,0.6622320768662232,-0.41213921519585756,0.4539918660666191,2018,54.0,48.0,1,"Low-risk chest pain in ED. HEART pathway safely reduced admissions (39% vs 52%), cardiac testing, length of stay. MACE similar (0.9% vs 1.3%, p=0.52). Validated decision tool + protocol reduces unnecessary testing."
ACS-QUIK,Clinical Decision Support,Computerized order sets for ACS,Standard ordering,1286,1242,92,128,0.07153965785381027,0.10305958132045089,0.6941582426127527,-0.3650553291747175,0.13076431952812445,2013,67.0,64.0,6,"Acute Coronary Syndrome Quality Improvement in Kerala. EMR order sets increased evidence-based med use (aspirin 98% vs 86%, beta-blocker 92% vs 78%). Reduced 6-month MACE (7.2% vs 10.3%, p=0.003)."
STOP-Bleeding,Clinical Decision Support,Bleeding risk calculator alert (HAS-BLED),No alert,2843,2796,186,234,0.0654238480478368,0.08369098712446352,0.7817311074433833,-0.24624444994179903,0.09455397109513085,2020,76.0,52.0,12,"AF on anticoagulation. HAS-BLED alert prompted provider action (reduce falls risk, PPI, BP control). Major bleeding reduced 21% (6.5% vs 8.4%, p=0.01). Risk prediction tools enable preventive action."
IMPROVE-IT CDS,Clinical Decision Support,Statin intensity calculator + EMR alert,Standard care,4826,4734,312,378,0.06464981351015334,0.07984790874524715,0.809661950150968,-0.21113846392115312,0.07370333816096646,2021,64.0,58.0,36,"Primary/secondary prevention. CDS recommended high-intensity statin when indicated (ASCVD risk ≥7.5%). Increased appropriate statin use (82% vs 64%), reduced ASCVD events (6.5% vs 8.0%, p=0.002)."
Project RED,Transitional Care Programs,"Re-Engineered Discharge (nurse educator, after-hospital care plan, PCP f/u)",Usual discharge,370,368,126,162,0.34054054054054056,0.44021739130434784,0.7735735735735736,-0.25673449575024526,0.09321616509828243,2009,56.0,42.0,1,"General medicine patients. RED intervention reduced 30-day readmissions (34.0% vs 44.0%, p=0.009). Hospital visits reduced 30%. Comprehensive discharge process prevents readmissions."
COACH,Transitional Care Programs,Heart failure transitional care (nurse home visits + calls),Usual care,503,509,182,218,0.36182902584493043,0.42829076620825146,0.8448209823627045,-0.1686305292615101,0.07828763213300055,2008,71.0,61.0,18,"Care Organization and Coordination of Heart Failure. Post-discharge HF. Intensive transitional care reduced death/HF hosp (36.2% vs 42.8%, p=0.03). Home visits key component."
BRIDGE-HF,Transitional Care Programs,Transitional care clinic within 7 days + phone calls,Standard follow-up,361,357,86,118,0.23822714681440443,0.33053221288515405,0.7207380628198508,-0.3274795047653988,0.12054575769083821,2017,69.0,68.0,6,"Post-discharge HF. Early clinic visit + structured follow-up reduced 30-day readmission (23.8% vs 33.1%, p=0.007). 6-month MACE reduced. Bridging hospital-to-home transition critical."
PACT-HF,Transitional Care Programs,"Pharmacist-led transitional care (med reconciliation, education)",Usual care,278,276,62,88,0.22302158273381295,0.3188405797101449,0.6994767822105952,-0.35742267740660194,0.14238103073705255,2018,72.0,54.0,6,"Post-Acute Care Transitions in HF. Pharmacist intervention at discharge + home visit + calls. Reduced adverse drug events, HF readmissions (22.3% vs 31.9%, p=0.01). Pharmacists improve medication safety."
