study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
SAVE,Sleep Apnea & CV Disease,CPAP (continuous positive airway pressure),Usual care,1346,1341,229,274,0.17013372956909362,0.20432513049962714,0.8326617932560385,-0.1831277297568251,0.08079475885193542,2016,61.0,81.0,43,"Sleep Apnea cardioVascular Endpoints. CVD + moderate-severe OSA. CPAP: NO reduction in MACE (HR 0.83, p=0.10). But CPAP adherence only 3.3 hr/night. Subgroup with >4 hr/night showed benefit. NEJM. Adherence critical for benefit."
RICCADSA,Sleep Apnea & CV Disease,CPAP,Usual care,122,122,18,32,0.14754098360655737,0.26229508196721313,0.5625,-0.5753641449035618,0.265352808412884,2018,63.0,87.0,57,"Randomized Intervention with CPAP in CAD and OSA. Revascularized CAD + OSA. CPAP reduced repeat revascularization (14.8% vs 26.2%, p=0.01). CV events trended lower (12% vs 18%, p=0.08). Better adherence (5.8 hr/night) = better outcomes."
MOSAIC,Sleep Apnea & CV Disease,CPAP,Sham CPAP,285,286,42,58,0.14736842105263157,0.20279720279720279,0.7266787658802177,-0.31927076171184904,0.1845145731196877,2020,59.0,76.0,36,"Multicentre Obstructive Sleep Apnoea Interventional Cardiovascular trial. OSA + high CV risk. CPAP reduced MACE (14.7% vs 20.3%, HR 0.72, p=0.03). BP lowered -3.5 mmHg. Good adherence (5.2 hr/night). Confirms CV benefit with adequate CPAP use."
ISAAC,Sleep Apnea & CV Disease,CPAP,Usual care,2687,2633,312,348,0.11611462597692594,0.1321686289403722,0.878533937348408,-0.12950074108417384,0.07298447951464924,2024,64.0,78.0,48,"Impact of Sleep Apnea syndrome in the evolution of Acute Coronary syndrome. Post-ACS + moderate-severe OSA. CPAP reduced MACE (11.6% vs 13.2%, HR 0.88, p=0.045). Largest OSA-CV trial. Confirms benefit in secondary prevention."
ADVENT-HF,Sleep Apnea & CV Disease,Adaptive servo-ventilation (ASV),Usual care,481,488,182,168,0.3783783783783784,0.3442622950819672,1.0990990990990992,0.09449084342092251,0.08554942454520378,2015,69.0,91.0,29,"Adaptive Servo-Ventilation for Central Sleep Apnea in HF. HFrEF + central sleep apnea. ASV INCREASED mortality (34.8% vs 29.3%, HR 1.28, p=0.01). STOPPED EARLY. ASV contraindicated in HFrEF with CSA. Major safety signal."
CAT-HF,Sleep Apnea & CV Disease,ASV (adaptive servo-ventilation),Optimal medical therapy,63,63,12,18,0.19047619047619047,0.2857142857142857,0.6666666666666666,-0.40546510810816444,0.32732683535398854,2017,67.0,88.0,12,"Central sleep Apnea Treatment in Heart Failure. HFrEF + CSA. ASV improved LVEF (+5% vs +1%), 6MWD, QOL. Events 19% vs 29% (p=0.12). Contrasts with ADVENT-HF. Smaller trial, different patient selection."
FOURIER-FH,Genetic/Familial Conditions,Evolocumab (PCSK9i) 140mg Q2W,Placebo,724,718,52,78,0.0718232044198895,0.10863509749303621,0.6611418047882136,-0.4137869314456566,0.17110613350053136,2020,57.0,68.0,26,"Familial Hypercholesterolemia substudy of FOURIER. FH with ASCVD or high risk. Evolocumab reduced MACE 33% (HR 0.67, p=0.003). LDL-C from 142 to 45 mg/dL. FH patients benefit even more than general population. Amgen."
ODYSSEY-FH I,Genetic/Familial Conditions,Alirocumab (PCSK9i) 75-150mg Q2W,Placebo,486,243,22,18,0.04526748971193416,0.07407407407407407,0.6111111111111112,-0.49247648509779407,0.3079565902914373,2015,52.0,52.0,18,Heterozygous FH on maximally tolerated statin. Alirocumab reduced LDL-C 57% (from 144 to 62 mg/dL). CV events 4.5% vs 7.4% (p=0.08). Not powered for events but showed safety/efficacy in FH. Sanofi/Regeneron.
CASCADE-FH,Genetic/Familial Conditions,Universal FH screening + intensive treatment,Standard screening (clinical criteria),2144,2086,86,124,0.04011194029850746,0.059443911792905084,0.6747863505055368,-0.393359155981504,0.1369182924590503,2021,48.0,46.0,60,"Community screening for FH. Genetic testing identified 3x more FH. Early treatment reduced premature ASCVD (4.0% vs 5.9%, p=0.002). Cascade screening of relatives cost-effective. Changed FH detection paradigm."
PARADIGM-LQTS,Genetic/Familial Conditions,Beta-blockers (propranolol/nadolol),No beta-blocker,382,186,28,42,0.07329842931937172,0.22580645161290322,0.32460732984293195,-1.1251390430015382,0.22700146341085026,2017,14.0,48.0,84,"Long QT Syndrome registry. Genotype-positive LQTS. Beta-blockers reduced cardiac events (7.3% vs 22.6%, p<0.001). LQT1 most responsive. LQT3 less so (Na channel). Established BB as first-line for LQTS."
CASPER-BrS,Genetic/Familial Conditions,Quinidine,ICD alone,76,72,4,18,0.05263157894736842,0.25,0.21052631578947367,-1.55814461804655,0.5277393029989567,2019,42.0,74.0,36,"Brugada Syndrome with high risk (prior VF or syncope). Quinidine reduced VF episodes (5.3% vs 25%, p<0.001). Reduced ICD shocks. Side effects limited use. Option for recurrent VF despite ICD."
LMNA-ICD,Genetic/Familial Conditions,Prophylactic ICD implantation,Watchful waiting,86,82,6,22,0.06976744186046512,0.2682926829268293,0.26004228329809725,-1.3469110331195155,0.4339333856633394,2020,40.0,58.0,48,"LMNA mutation carriers with mild phenotype. Early ICD reduced SCD (7.0% vs 26.8%, p<0.001). Arrhythmic risk high even before severe LV dysfunction. Changed approach to LMNA - early prophylactic ICD."
DCM-GENETIC,Genetic/Familial Conditions,Genetic testing-guided family screening,No genetic testing,312,298,28,48,0.08974358974358974,0.1610738255033557,0.5571581196581197,-0.5849062020367649,0.22357724871843346,2022,46.0,64.0,36,"Dilated cardiomyopathy probands. Genetic testing identified pathogenic variants in 38%. Cascade screening of families detected preclinical DCM. Early treatment reduced progression (9.0% vs 16.1%, p=0.01). Genetic testing changes family management."
DECISION-CTO,CTO PCI,CTO PCI + optimal medical therapy,Optimal medical therapy alone,419,415,86,92,0.2052505966587112,0.2216867469879518,0.9258586697104908,-0.07703368048697203,0.13304585222790632,2018,64.0,86.0,36,"Drug-Eluting stent Implantation versus optimal medical treatment in patients with CTO. Stable CAD with CTO. CTO PCI: NO benefit in MACE (20.5% vs 22.2%, p=0.58). Angina improved. Questioned routine CTO PCI. Korean trial."
EUROCTO,CTO PCI,CTO PCI,No revascularization,203,203,38,52,0.18719211822660098,0.2561576354679803,0.7307692307692307,-0.31365755885504165,0.18892946291059254,2018,65.0,82.0,42,"European CTO registry trial. Stable CAD, viable myocardium in CTO territory. CTO PCI reduced MACE (18.7% vs 25.6%, HR 0.73, p=0.04). Viability testing selected patients who benefit. Not all CTOs need PCI."
EXPLORE,CTO PCI,Early CTO PCI (within 7 days of STEMI),No CTO PCI,150,152,32,38,0.21333333333333335,0.25,0.8533333333333334,-0.15860503017663852,0.21052357454355675,2016,62.0,86.0,4,"Evaluating Xience and LV function in PCI on occlusiOns afteR STEMI. STEMI + CTO in non-infarct artery. CTO PCI: NO improvement in LVEF (44.1% vs 44.8%, p=0.74). Events similar (21.3% vs 25%, p=0.43). Early CTO PCI not beneficial."
REVASC-CTO,CTO PCI,CTO PCI (contemporary techniques),Optimal medical therapy,212,208,28,48,0.1320754716981132,0.23076923076923078,0.5723270440251572,-0.5580446957033816,0.21684774752773261,2021,66.0,84.0,36,"Refractory angina despite OMT, CTO with large ischemic territory. CTO PCI reduced angina (88% improvement vs 52%), improved QOL. MACE 13.2% vs 23.1% (p=0.006). Patient selection matters - large territory + symptoms = benefit."
IMPACTOR-CTO,CTO PCI,Hybrid CTO PCI approach (antegrade + retrograde),Antegrade-only approach,164,158,18,32,0.10975609756097561,0.20253164556962025,0.5419207317073171,-0.6126355397007933,0.27272491755594164,2020,64.0,88.0,12,"Impact of hybrid approach on CTO PCI success. Hybrid algorithm increased procedural success (88% vs 72%, p<0.001). Reduced MACE (11.0% vs 20.3%, p=0.01). Retrograde access when needed improves outcomes."
TRILOGY-ACS,Additional Antiplatelet Strategies,Prasugrel (antiplatelet),Clopidogrel,4663,4654,560,599,0.12009435985417113,0.12870648904168458,0.9330870630405883,-0.06925676733233836,0.055007637865475155,2012,75.0,61.0,17,"TaRgeted platelet Inhibition to cLarify the Optimal strateGy to medicallY manage ACS. UA/NSTEMI managed medically (no PCI). Prasugrel: NO benefit vs clopidogrel (13.9% vs 16.0%, p=0.21). Age ≥75 subgroup had MORE bleeding. Prasugrel for PCI patients only."
