study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
NINDS,Acute Stroke Treatment,t-PA within 3h,Placebo,312,312,125,163,0.40064102564102566,0.5224358974358975,0.7668711656441718,-0.2654364635044612,0.08789034597097092,1995,67.0,54.0,3,Landmark trial - established t-PA for acute ischemic stroke <3h
ECASS III,Acute Stroke Treatment,t-PA 3-4.5h,Placebo,418,403,185,219,0.44258373205741625,0.543424317617866,0.8144349041969805,-0.20526077531624948,0.07139944940471235,2008,65.0,57.0,3,"Extended window to 4.5 hours, 16% absolute benefit"
IST-3,Acute Stroke Treatment,t-PA within 6h,Control,1515,1520,554,534,0.36567656765676565,0.3513157894736842,1.0408771214200072,0.04006374368394157,0.048577284652517844,2012,77.0,47.0,6,"Elderly patients, extended window. Benefit less clear in extended window"
WAKE-UP,Acute Stroke Treatment,t-PA (MRI-guided),Placebo,254,249,126,149,0.49606299212598426,0.5983935742971888,0.828991174760873,-0.1875457695478101,0.0818220337160916,2018,65.0,62.0,3,"Wake-up stroke, MRI selection. Thrombolysis beneficial"
MR CLEAN,Acute Stroke Treatment,Thrombectomy + usual care,Usual care alone,233,267,103,163,0.44206008583690987,0.6104868913857678,0.7241106927512572,-0.32281100774257776,0.08835464528596607,2015,65.0,58.0,3,First positive thrombectomy trial - game changer
ESCAPE,Acute Stroke Treatment,Thrombectomy + t-PA,t-PA alone,165,150,83,110,0.503030303030303,0.7333333333333333,0.6859504132231405,-0.3769499378001431,0.091716024416242,2015,71.0,49.0,3,"Rapid imaging, fast treatment. 31% absolute benefit!"
EXTEND-IA,Acute Stroke Treatment,Thrombectomy + t-PA,t-PA alone,35,35,15,28,0.42857142857142855,0.8,0.5357142857142857,-0.6241543090729939,0.21269248984883138,2015,69.0,57.0,3,Stopped early - dramatic benefit of thrombectomy
SWIFT PRIME,Acute Stroke Treatment,Thrombectomy + t-PA,t-PA alone,98,98,36,61,0.3673469387755102,0.6224489795918368,0.5901639344262295,-0.5273549257172012,0.1541527071945948,2015,67.0,51.0,3,Solitaire device. 25% absolute improvement in functional outcome
DAWN,Acute Stroke Treatment,Thrombectomy 6-24h,Medical therapy,107,99,49,79,0.45794392523364486,0.797979797979798,0.5738790961788713,-0.5553365386837112,0.11670298462281897,2018,70.0,52.0,3,Extended window with perfusion imaging. 27% absolute benefit
DEFUSE-3,Acute Stroke Treatment,Thrombectomy 6-16h,Medical therapy,92,90,31,58,0.33695652173913043,0.6444444444444445,0.522863568215892,-0.6484347127800485,0.16588781600217492,2018,70.0,57.0,3,Extended window. 28% absolute improvement with thrombectomy
