study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
CHANCE,Antiplatelet for Stroke,Clopidogrel + aspirin,Aspirin alone,2584,2586,212,303,0.08204334365325078,0.11716937354988399,0.7002115072188334,-0.3563728364080463,0.08510943930363506,2013,62.0,69.0,3,Minor stroke/TIA. DAPT for 21 days reduces stroke by 32%
POINT,Antiplatelet for Stroke,Clopidogrel + aspirin,Aspirin alone,2525,2499,121,160,0.04792079207920792,0.06402561024409764,0.7484628712871287,-0.2897336805115936,0.1171249893999199,2018,65.0,59.0,3,"Minor stroke/TIA. DAPT for 90 days, benefit but increased bleeding"
FASTER,Antiplatelet for Stroke,Clopidogrel + aspirin,Aspirin alone,196,196,21,28,0.10714285714285714,0.14285714285714285,0.75,-0.2876820724517809,0.27042420694287017,2007,68.0,60.0,3,"TIA or minor stroke within 24h. Small trial, trend favoring DAPT"
MATCH,Antiplatelet for Stroke,Clopidogrel + aspirin,Clopidogrel alone,3797,3802,596,587,0.1569660258098499,0.1543924250394529,1.0166692165741895,0.016531810053825452,0.05343261722218581,2004,66.0,71.0,18,"High CV risk. No benefit of adding aspirin to clopidogrel, more bleeding"
WARSS,Antiplatelet for Stroke,Warfarin (INR 1.4-2.8),Aspirin 325mg,1103,1103,196,176,0.17769718948322757,0.15956482320942883,1.1136363636363638,0.10763066419236555,0.09471336954604054,2001,63.0,63.0,25,Non-cardioembolic stroke. Warfarin no better than aspirin
ESPRIT,Antiplatelet for Stroke,Aspirin + dipyridamole,Aspirin alone,1376,1363,173,216,0.1257267441860465,0.15847395451210564,0.7933590385443584,-0.2314793999831423,0.09460209590203877,2006,63.0,64.0,42,TIA or minor stroke. Combination reduces events by 20%
CAPRIE-Stroke,Antiplatelet for Stroke,Clopidogrel 75mg,Aspirin 325mg,6431,6455,939,1021,0.14601150676411134,0.1581719597211464,0.9231187817456795,-0.0799973618105228,0.04164107558373913,1996,63.0,70.0,23,"Recent stroke, MI, or PAD. Clopidogrel 8.7% better (subset: stroke patients)"
PRoFESS,Antiplatelet for Stroke,Aspirin + dipyridamole,Clopidogrel,10181,10151,916,898,0.0899715155682153,0.0884641907201261,1.017038813511084,0.016895281049165836,0.04481689594870072,2008,66.0,63.0,30,Recent stroke. Aspirin-ER-dipyridamole vs clopidogrel - equivalent
CSPS 2,Antiplatelet for Stroke,Cilostazol + aspirin,Aspirin alone,1337,1336,121,163,0.09050112191473449,0.1220059880239521,0.7417760667367195,-0.2987078782153733,0.11359131122026295,2010,65.0,70.0,29,"Japanese post-stroke. Cilostazol+aspirin superior, less bleeding"
SOCRATES,Antiplatelet for Stroke,"Ticagrelor 180mg load, 90mg bid","Aspirin 300mg load, 100mg daily",6589,6604,442,497,0.06708149946881166,0.07525741974560872,0.8913606086358797,-0.11500620989273175,0.06301844488247951,2016,65.0,64.0,3,Minor stroke/TIA. Ticagrelor not superior to aspirin (p=0.07)
