study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
ENDEAVOR II,DES Generation Comparisons,Zotarolimus-eluting stent (Endeavor),Bare-metal stent,598,597,49,84,0.08193979933110368,0.1407035175879397,0.5823578595317725,-0.5406701412907167,0.17019295664434983,2006,63.0,69.0,9,Zotarolimus (ENDEAVOR) vs BMS. Less efficacy than sirolimus but faster endothelialization
ENDEAVOR III,DES Generation Comparisons,Zotarolimus-eluting stent,Sirolimus-eluting stent (Cypher),323,113,21,5,0.06501547987616099,0.04424778761061947,1.4693498452012383,0.3848200207790066,0.4854621662547202,2006,63.0,72.0,8,ZES vs SES. ZES had higher restenosis but potentially better safety
ENDEAVOR IV,DES Generation Comparisons,Zotarolimus-eluting stent,Paclitaxel-eluting stent (Taxus),773,775,48,60,0.062095730918499355,0.07741935483870968,0.8020698576972833,-0.22055957054828468,0.18685827880656714,2008,63.0,73.0,8,ZES non-inferior to PES for clinical endpoint. Similar efficacy
RESOLUTE All Comers,DES Generation Comparisons,Zotarolimus-eluting stent (Resolute),Everolimus-eluting stent (Xience),1140,1152,101,106,0.08859649122807017,0.0920138888888889,0.9628599801390267,-0.03784727740351237,0.13262618076816188,2010,64.0,73.0,12,Resolute (improved ZES) vs Xience. Non-inferior - both excellent second-gen DES
TWENTE,DES Generation Comparisons,Resolute ZES,Xience V EES,697,697,56,56,0.08034433285509325,0.08034433285509325,1.0,0.0,0.18123146872211582,2011,64.0,74.0,12,"All-comers, real-world. Confirmed equivalence of two second-gen DES"
SORT OUT IV,DES Generation Comparisons,Sirolimus-eluting stent (Cypher),Everolimus-eluting stent (Xience),1229,1223,104,78,0.08462164361269324,0.06377759607522486,1.3268239761323568,0.28278809857291837,0.14423788093850892,2011,63.0,76.0,9,Danish all-comers. EES superior to SES - second-gen better than first-gen
SORT OUT V,DES Generation Comparisons,Biolimus-eluting stent (Nobori),Sirolimus-eluting stent (Cypher),1229,1239,90,95,0.07323026851098453,0.07667473769168684,0.9550768703695773,-0.045963449207168126,0.14148022741162453,2012,64.0,76.0,12,BES with biodegradable polymer non-inferior to SES
BIOSCIENCE,DES Generation Comparisons,Biolimus-eluting stent (biodegradable),Everolimus-eluting stent (durable),1003,997,82,83,0.08175473579262213,0.08324974924774323,0.9820418263282442,-0.018121378532441976,0.1491418677707298,2014,66.0,76.0,12,Biodegradable vs durable polymer. Similar safety and efficacy
BIOFLOW-II,DES Generation Comparisons,Orsiro sirolimus-eluting stent,Xience V everolimus-eluting stent,327,165,15,12,0.045871559633027525,0.07272727272727272,0.6307339449541285,-0.46087114568246296,0.37534156439682875,2013,67.0,75.0,9,Ultra-thin strut Orsiro vs Xience. Non-inferior for late lumen loss
HOST-ASSURE,DES Generation Comparisons,Zotarolimus-eluting stent (Resolute Integrity),Everolimus-eluting stent (Xience/Promus),1820,1828,87,89,0.0478021978021978,0.048687089715536105,0.9818249166563773,-0.01834227913430189,0.14708402846139512,2016,62.0,75.0,12,All-comers ACS. ZES non-inferior to EES in ACS setting
